#,玩家昵称,Bot名,分数
1,llkkcc,Behold,345.00246500651036
2,zhmomo,tess,339.0028889973961
3,intellouis,菜鸡四十三号,338.0035693359375
4,zbww,QwQ,337.0018717447917
5,yue,發發發發發發發發,336.0014770507812
6,dark,数理逻辑,332.0019856770833
7,Solitude21 (随机出牌样例程序),Mahjong_Studios,332.0007462565104
8,Louison,test2,331.00264648437496
9,TONY,一通乱打,331.0025732421872
10,tribbiani,Res2,330.00371012369783
11,MCC_gameAI,芝麻开花,330.002541503906
12,TokisakiKurumi (凑齐十四张牌就算成功),mahjongNeXt,330.00125895182293
13,metaphysics,雀___圣,329.00098388671876
14,namespace_bilibili,suphx,327.003702799479
15,humanfy,humanfy,325.0019832356769
